date,event,location,result,fighter1,fighter2,method_of_victory,fight_duration,fight_format,f1_knockdown,f2_knockdown,f1_sig_strike_land,f2_sig_strike_land,f1_sig_strike_att,f2_sig_strike_att,f1_total_strike_land,f2_total_strike_land,f1_total_strike_att,f2_total_strike_att,f1_takedown_land,f2_takedown_land,f1_takedown_att,f2_takedown_att,f1_sub_att,f2_sub_att,f1_reversal,f2_reversal,f1_control_time,f2_control_time
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",1,Mike Malott,Trevin Giles,Decision - Unanimous,900,3,0,0,59,34,130,78,59,34,130,78,0,0,1,0,0,0,0,0,0,0
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",0,Caio Machado,Brendson Ribeiro,Decision - Split,900,3,0,0,76,49,184,131,79,49,187,131,0,0,0,0,0,0,0,0,2,0
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",0,Marc-Andre Barriault,Dustin Stoltzfus,KO/TKO,268,3,0,1,7,13,11,20,13,23,17,32,0,0,0,0,0,1,0,0,1,234
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",1,Aiemann Zahabi,Pedro Munhoz,Decision - Unanimous,900,3,0,0,109,95,206,327,110,95,208,327,0,0,1,6,0,0,0,0,0,2
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",0,Ariane da Silva,Jasmine Jasudavicius,Submission,748,3,0,0,42,36,92,84,43,130,93,218,0,3,0,5,0,1,0,0,0,344
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",1,Erin Blanchfield,Rose Namajunas,Decision - Unanimous,1500,5,0,0,110,94,281,245,193,101,387,254,2,1,8,4,0,0,0,0,534,15
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",1,Brandon Moreno,Amir Albazi,Decision - Unanimous,1500,5,0,0,132,63,317,235,132,63,317,236,0,1,1,4,0,0,0,0,0,9
"October 19, 2024",UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",0,Matheus Nicolau,Asu Almabayev,Decision - Unanimous,900,3,0,1,16,22,42,54,38,55,68,112,0,1,1,6,1,0,0,0,0,317
"October 19, 2024",UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",0,Jake Hadley,Cameron Smotherman,Decision - Unanimous,900,3,0,0,60,96,165,259,70,97,176,260,1,0,2,0,0,0,0,0,113,0
"October 19, 2024",UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",1,Anthony Hernandez,Michel Pereira,KO/TKO,1342,5,0,0,152,24,212,53,219,29,293,62,10,0,29,1,0,1,0,1,942,56
"October 19, 2024",UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",1,Charles Johnson,Sumudaerji,Decision - Unanimous,900,3,1,0,65,75,150,144,84,78,177,149,2,0,6,3,0,2,0,1,178,50
"October 19, 2024",UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",1,Rob Font,Kyler Phillips,Decision - Unanimous,900,3,0,0,61,38,137,125,65,50,144,143,0,4,1,5,0,0,0,0,79,282
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Rinat Fakhretdinov,Carlos Leal,Decision - Unanimous,900,3,0,0,109,107,222,246,119,146,236,292,2,1,19,4,0,0,0,0,194,13
"October 19, 2024",UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",1,Darren Elkins,Daniel Pineda,Decision - Unanimous,900,3,0,0,39,31,88,53,102,61,170,85,3,0,12,0,0,2,1,1,393,182
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Ismail Naurdiev,Bruno Silva,Decision - Unanimous,900,3,0,0,66,36,116,97,107,38,166,100,3,0,13,3,0,0,0,0,351,0
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Abus Magomedov,Brunno Ferreira,Submission,794,3,0,0,26,29,59,71,45,36,81,83,4,0,8,0,1,1,0,1,216,13
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Kennedy Nzechukwu,Chris Barnett,KO/TKO,267,3,0,0,51,12,74,34,51,12,74,34,0,0,0,1,0,0,0,0,0,0
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Shara Magomedov,Armen Petrosyan,KO/TKO,592,3,1,0,65,77,106,140,67,77,108,141,0,0,0,0,0,0,0,0,2,21
"October 26, 2024",UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1,Farid Basharat,Victor Hugo,Decision - Unanimous,900,3,0,0,60,45,126,125,89,48,168,128,4,1,7,4,0,1,0,0,277,18
